r_kpc,rho_kg_m3,M_enc_kg,G_eff_over_GN,v_kms_final
18.315263261050877,4.010903500652344e-23,3.378456621257719e+41,0.050767094631727766,45.00609523814283
18.348624394495413,3.9665478213966754e-23,3.3801014550225006e+41,0.05074553870567282,44.96655698283123
18.381985527939953,3.9226826616167065e-23,3.3817340193866143e+41,0.050724456907674784,44.92724681941249
18.41534666138449,3.8793025967679396e-23,3.3833543951974585e+41,0.050703838809166527,44.888160242591276
18.448707794829026,3.836402262294685e-23,3.384962662897173e+41,0.05068367421096067,44.84929284955246
18.482068928273563,3.793976352966677e-23,3.3865589025230138e+41,0.05066395313820309,44.81064033775626
18.5154300617181,3.7520196222229876e-23,3.3881431937077578e+41,0.050644665835438786,44.772198502777115
18.548791195162636,3.7105268815232355e-23,3.389715615680132e+41,0.05062580276178721,44.73396323618522
18.582152328607176,3.6694929997059276e-23,3.3912762472652695e+41,0.050607354586221044,44.69593052346846
18.615513462051712,3.6289129023539437e-23,3.3928251668851916e+41,0.05058931218295214,44.65809644199694
18.64887459549625,3.5887815711669955e-23,3.394362452559312e+41,0.05057166662691615,44.620457159026415
18.682235728940785,3.5490940433410434e-23,3.395888181904969e+41,0.050554409189357156,44.58300892974188
18.715596862385322,3.509845410954588e-23,3.3974024321379815e+41,0.0505375313335112,44.54574809534076
18.74895799582986,3.4710308203617304e-23,3.3989052800732237e+41,0.050521024710382015,44.5086710811534
18.7823191292744,3.4326454715919395e-23,3.4003968021252298e+41,0.050504881154611936,44.471774394802146
18.815680262718935,3.3946846177564904e-23,3.401877074308817e+41,0.050489092680442514,44.43505462439714
18.84904139616347,3.357143564461421e-23,3.4033461722397318e+41,0.05047365147776418,44.39850843676848
18.882402529608008,3.3200176692270267e-23,3.4048041711353188e+41,0.050458549908252236,44.362132575734186
18.915763663052545,3.2833023409137316e-23,3.40625114581521e+41,0.05044378050158873,44.32592386040346
18.94912479649708,3.2469930391543475e-23,3.407687170702036e+41,0.05042933595176839,44.28987918351526
18.98248592994162,3.2110852737925775e-23,3.4091123198221567e+41,0.05041520911348203,44.253995509808945
19.015847063386158,3.17557460432776e-23,3.4105266668064146e+41,0.050401392998584156,44.218269874430504
19.049208196830694,3.1404566393657234e-23,3.411930284890904e+41,0.05038788077263513,44.182699381370085
19.08256933027523,3.105727036075745e-23,3.4133232469177637e+41,0.05037466575152043,44.14728120193225
19.115930463719767,3.071381499653481e-23,3.4147056253359844e+41,0.050361741398144366,44.112012573237834
19.14929159716431,3.037415782789864e-23,3.416077492202241e+41,0.05034910131919627,44.07689079675677
19.182652730608844,3.0038256851458773e-23,3.4174389191817353e+41,0.050336739261988735,44.04191323687181
19.21601386405338,2.9706070528330807e-23,3.418789977549062e+41,0.050324649111362155,44.007077319470625
19.24937499749792,2.937755777899971e-23,3.4201307381890924e+41,0.05031282488666276,43.97238053056986
19.282736130942457,2.9052677978239523e-23,3.4214612715978705e+41,0.0503012607387823,43.93782041496565
19.316097264386997,2.87313909500895e-23,3.4227816478835314e+41,0.05028995094726579,43.90339457491392
19.34945839783153,2.841365696288585e-23,3.424091936767233e+41,0.05027888991747954,43.869100668836815
19.382819531276066,2.80994367243482e-23,3.425392207584104e+41,0.05026807217784713,43.83493641005898
19.416180664720606,2.7788691376720806e-23,3.426682529284207e+41,0.05025749237713949,43.80089956556746
19.449541798165143,2.7481382491966986e-23,3.42796297043352e+41,0.050247145281830004,43.76698795480037
19.48290293160968,2.717747206701715e-23,3.42923359921493e+41,0.05023702577350393,43.733199448459445
19.516264065054216,2.687692251906903e-23,3.4304944834292413e+41,0.050227128846328455,43.699531967349415
19.549625198498756,2.657969668094017e-23,3.4317456904961995e+41,0.05021744960457443,43.66598348124047
19.582986331943292,2.6285757796471603e-23,3.4329872874555283e+41,0.05020798326019592,43.63255200775625
19.616347465387825,2.5995069515982496e-23,3.434219340967984e+41,0.05019872513046131,43.599235611285124
19.649708598832365,2.5707595891774813e-23,3.4354419173164144e+41,0.050189670635636514,43.56603240191448
19.683069732276902,2.5423301373688168e-23,3.4366550824068412e+41,0.050180815296720145,43.532940534388565
19.716430865721442,2.514215080470335e-23,3.4378589017695465e+41,0.05017215473322766,43.499958207088255
19.749791999165975,2.4864109416594765e-23,3.4390534405601796e+41,0.05016368466102419,43.46708366103277
19.78315313261051,2.4589142825630646e-23,3.440238763560869e+41,0.050155400890205405,43.43431517890309
19.81651426605505,2.431721702832134e-23,3.4414149351813495e+41,0.05014729932302525,43.40165108408663
19.849875399499588,2.404829839721407e-23,3.442582019460101e+41,0.0501393759518688,43.369089739742336
