r_kpc,v_km_s,a_m_s2
23.6,280.9883803493935,3345.5283852277717
23.700000000000003,280.62319168090744,3322.7584687417434
23.800000000000004,280.25910115078506,3300.2169654557124
23.900000000000002,279.89610330266754,3277.9007800844156
24.000000000000004,279.5341927319406,3255.8068710957377
24.1,279.1733640849231,3233.932249564026
24.200000000000003,278.8136120580703,3212.2739780524016
24.300000000000004,278.45493139719366,3190.8291695232847
24.400000000000002,278.0973168966958,3169.5949862762805
24.500000000000004,277.74076339882043,3148.5686389126345
24.6,277.38526579291664,3127.747385325488
24.700000000000003,277.0308190147178,3107.1285297151953
24.800000000000004,276.67741804563434,3086.7094216289797
24.900000000000002,276.32505791206046,3066.48745502424
25.000000000000004,275.973733684694,3046.460067354816
25.1,275.62344047786996,3026.624738679598
25.200000000000003,275.2741734489056,3006.9789907927834
25.300000000000004,274.92592779745985,2987.5203863752604
25.400000000000002,274.5786987649038,2968.246528166447
25.500000000000004,274.2324816337037,2949.155058156063
25.6,273.8872717268155,2930.243656795253
25.700000000000003,273.5430644070915,2911.5100422265446
25.800000000000004,273.19985507669713,2892.951969532105
25.900000000000002,272.85763917654026,2874.567229999808
26.000000000000004,272.5164121857102,2856.3536504066105
26.1,272.17616962092757,2838.309092318771
26.200000000000003,271.8369070360051,2820.4314514084604
26.300000000000004,271.49862002131744,2802.7186567863
26.400000000000002,271.1613042032822,2785.1686703494297
26.500000000000004,270.82495524384956,2767.7794861446455
26.6,270.48956884000205,2750.549129746248
26.700000000000003,270.1551407232636,2733.4756576481786
26.800000000000004,269.8216666592176,2716.5571566700723
26.900000000000002,269.4891424470336,2699.791743376861
27.000000000000004,269.1575639190033,2683.1775635115678
27.1,268.82692694008455,2666.7127914409425
27.200000000000003,268.4972274074544,2650.3956296136125
27.300000000000004,268.16846125006964,2634.2243080304065
27.400000000000002,267.84062442823557,2618.1970837265376
27.500000000000004,267.5137129331832,2602.3122402653657
27.6,267.1877227866531,2586.5680872433836
27.700000000000003,266.862650040488,2570.962959806208
27.800000000000004,266.5384907762315,2555.4952181752246
27.900000000000002,266.2152411047354,2540.1632471846738
28.000000000000004,265.89289716577275,2524.965455828864
28.1,265.5714551276587,2509.900276819289
28.200000000000003,265.25091118687817,2494.966166151387
28.300000000000004,264.9312615677195,2480.1616026806855
28.400000000000002,264.61250252191536,2465.4850877081217
28.500000000000004,264.2946303282895,2450.9351445742873
28.6,263.9776412924102,2436.5103182623916
28.700000000000003,263.66153174624947,2422.209175009704
28.800000000000004,263.3462980478484,2408.0303019272983
28.900000000000002,263.03193658098854,2393.9723066278607
29.000000000000004,262.7184437548688,2380.033816861385
29.1,262.40581600378823,2366.2134801585557
29.200000000000003,262.09404978683386,2352.509963481621
29.300000000000004,261.7831415875748,2338.921952882601
29.400000000000002,261.47308791376065,2325.4481531686124
29.500000000000004,261.16388529702596,2312.0872875741734
29.6,260.85553029259944,2298.838097440313
29.700000000000003,260.54801947901757,2285.6993419002865
29.800000000000004,260.2413494578447,2272.6697975718134
29.900000000000002,259.9355168533962,2259.7482582555926
30.000000000000004,259.63051831246725,2246.933534640013
30.1,259.32635050406606,2234.2244540118845
30.200000000000003,259.02301011915165,2221.6198599730506
30.300000000000004,258.72049387037595,2209.118612162747
30.400000000000002,258.41879849183016,2196.719585985563
30.500000000000004,258.1179207387958,2184.421672344894
30.6,257.8178573874995,2172.223777381733
30.700000000000003,257.5186052348717,2160.124822218687
30.800000000000004,257.22016109831003,2148.123742709109
30.900000000000002,256.92252181544626,2136.2194891912122
31.000000000000004,256.6256842439168,2124.4110262470476
31.1,256.32964526113733,2112.697332466254
31.200000000000003,256.03440176408145,2101.0774002144576
31.300000000000004,255.73995066906193,2089.550235406205
31.400000000000002,255.44628891151677,2078.1148572823595
31.500000000000004,255.15341344579778,2066.7702981918164
31.6,254.86132124496302,2055.515603377476
31.700000000000003,254.5700093005727,2044.3498307663617
31.800000000000004,254.27947462248795,2033.272050763789
31.900000000000002,253.98971423867323,2022.281346051501
32.0,253.70072519500167,2011.3768113896797
32.1,253.41250455506355,2000.5575534227446
32.2,253.12504939997797,1989.8226904888597
32.300000000000004,252.83835682820748,1979.171352433064
32.400000000000006,252.5524239553751,1968.6026804239357
32.5,252.26724791408543,1958.1158267737426
32.6,251.982825853747,1947.7099547619564
32.7,251.69915494039893,1937.3842384621082
32.800000000000004,251.4162323565391,1927.1378625718673
32.900000000000006,251.13405530095568,1916.9700222463057
33.0,250.85262098856109,1906.879922934263
33.1,250.5719266502283,1896.8667802177458
33.2,250.29196953263025,1886.9298196543104
33.300000000000004,250.01274689808068,1877.0682766223345
33.400000000000006,249.73425602437877,1867.2813961691602
33.5,249.45649420465483,1857.5684328619998
33.6,249.17945874721923,1847.928650641581
33.7,248.90314697541328,1838.3613226784623
33.800000000000004,248.62755622746218,1828.8657312319485
33.900000000000006,248.35268385633063,1819.4411675115782
34.0,248.07852722958012,1810.0869315411037
34.1,247.80508372922878,1800.8023320249292
34.2,247.53235075161297,1791.5866862169457
34.300000000000004,247.26032570725107,1782.4393197917166
34.400000000000006,246.98900602070938,1773.3595667179652
34.5,246.7183891304697,1764.3467691343149
34.6,246.4484724887991,1755.400277227236
34.7,246.17925356162152,1746.5194491111567
34.800000000000004,245.9107298283914,1737.7036507106925
34.900000000000006,245.64289878196868,1728.9522556449429
35.0,245.375757928496,1720.2646451138248
35.1,245.10930478727772,1711.640207786399
35.2,244.84353689066026,1703.0783396911393
35.300000000000004,244.57845178391472,1694.5784441081214
35.400000000000006,244.31404702512054,1686.1399314630735
35.5,244.05032018505128,1677.7622192232689
35.6,243.78726884706188,1669.4447317952142
35.7,243.52489060697746,1661.1869004240991
35.800000000000004,243.26318307298368,1652.988163094971
35.900000000000006,243.00214386551858,1644.847964435604
36.0,242.74177061716617,1636.7657556210254
36.1,242.4820609725512,1628.7409942796687
36.2,242.22301258823546,1620.7731444011179
36.300000000000004,241.96462313261563,1612.8616762454187
36.400000000000006,241.7068902858225,1605.0060662539186
