r_kpc,v_kms_mu_0.3_over_T0,v_kms_mu_1.0_over_T0,v_kms_mu_3.0_over_T0
24.22018388073395,131.66779857056372,65.38795650519594,8.884491411983474
24.253545014178485,131.5846545880621,65.34658560368848,8.878098191239202
24.286906147623025,131.50162499488835,65.30527338056524,8.871730820189843
24.32026728106756,131.41870979945986,65.26401979755913,8.865388891016273
24.353628414512098,131.33590900775553,65.22282481615306,8.859072004860307
24.386989547956635,131.25322262333935,65.18168839757159,8.852779771625103
24.420350681401175,131.17065064738432,65.14061050276999,8.84651180977993
24.45371181484571,131.08819307869464,65.09959109242592,8.840267746169024
24.487072948290244,131.0058499137316,65.05863012692969,8.834047215824768
24.520434081734784,130.92362114663348,65.01772756637696,8.827849861784713
24.55379521517932,130.8415067692413,64.97688337056003,8.821675334912694
24.58715634862386,130.75950677112084,64.93609749896056,8.81552329372385
24.620517482068394,130.6776211395842,64.89536991074235,8.80939340421335
24.65387861551293,130.59584985971532,64.85470056474433,8.803285339688934
24.68723974895747,130.51419291439012,64.81408941947409,8.797198780606951
24.720600882402007,130.43265028430022,64.77353643310197,8.791133414412323
24.753962015846543,130.35122194797484,64.73304156345492,8.785088935381587
24.78732314929108,130.26990788180333,64.69260476801102,8.779065044469569
24.82068428273562,130.1887080600565,64.6522260038945,8.773061449159455
24.854045416180156,130.10762245490966,64.61190522787047,8.76707786331616
24.88740654962469,130.02665103646476,64.57164239634113,8.761114007042655
24.92076768306923,129.9457937727705,64.53143746534,8.755169606539827
24.954128816513766,129.86505062984472,64.49129039052981,8.749244393969164
24.987489949958306,129.78442157169704,64.45120112719694,8.743338107318483
25.02085108340284,129.7039065603484,64.41116963024876,8.737450490270774
25.05421221684738,129.6235055558528,64.371195854211,8.731581292075731
25.087573350291915,129.54321851631985,64.33127975322314,8.725730267424236
25.120934483736452,129.4630453979336,64.29142128103724,8.719897176325604
25.15429561718099,129.3829861549745,64.25162039101495,8.714081783987561
25.187656750625525,129.30304073984053,64.21187703612445,8.70828386069874
25.221017884070065,129.2232091030662,64.17219116893905,8.702503181713988
25.2543790175146,129.143491193345,64.13256274163568,8.696739527142064
25.287740150959134,129.0638869575481,64.09299170599277,8.690992681835887
25.321101284403674,128.98439634074515,64.05347801338861,8.685262435285184
25.35446241784821,128.90501928622484,64.01402161480033,8.679548581511558
25.38782355129275,128.82575573551372,63.97462246080307,8.673850918965867
25.421184684737284,128.74660562839676,63.935280501568904,8.668169250427928
25.454545818181824,128.66756890293664,63.89599568686563,8.662503382908369
25.48790695162636,128.588645495494,63.85676796605721,8.656853127552765
25.521268085070897,128.50983534074575,63.817597288102824,8.651218299547839
25.554629218515434,128.43113837170452,63.77848360155645,8.64559871802978
25.58799035195997,128.35255451973939,63.739426854567505,8.639994205994642
25.62135148540451,128.27408371459242,63.700426994880274,8.634404590210654
25.654712618849047,128.19572588439934,63.66148396983403,8.628829701132622
25.688073752293587,128.11748095570658,63.62259772636477,8.623269372818134
25.72143488573812,128.03934885349236,63.58376821100402,8.617723442845644
25.754796019182656,127.96132950118282,63.544995369880255,8.612191752234528
25.788157152627196,127.88342282067201,63.50627914872002,8.606674145366764
25.821518286071733,127.80562873233805,63.467619492848456,8.601170469910405
25.85487941951627,127.72794715506348,63.42901634719005,8.595680576744892
25.888240552960806,127.650378006252,63.39046965627027,8.59020431988789
25.921601686405342,127.57292120184628,63.35197936421645,8.584741556423815
25.954962819849882,127.49557665634636,63.313545414759396,8.579292146434087
25.988323953294415,127.4183442828258,63.275167751235124,8.573855952928733
26.021685086738955,127.34122399295057,63.236846316585634,8.568432841779694
26.055046220183492,127.26421569699579,63.198581053360904,8.563022681655626
26.088407353628032,127.18731930386235,63.160371903720986,8.557625343958057
26.121768487072565,127.11053472109455,63.12221880943766,8.55224070275908
26.1551296205171,127.03386185489715,63.08412171189591,8.546868634740477
26.18849075396164,126.95730061015138,63.046080552096456,8.541509019134134
26.221851887406178,126.88085089043297,63.0080952706581,8.536161737663793
26.255213020850714,126.8045125980264,62.970165807819114,8.530826674488306
26.28857415429525,126.72828563394363,62.932292103439536,8.525503716145803
26.321935287739787,126.6521698979389,62.89447409700405,8.520192751499582
26.355296421184327,126.5761652885253,62.8567117276244,8.514893671684819
26.38865755462886,126.50027170299091,62.81900493404127,8.509606370056762
26.4220186880734,126.42448903741452,62.78135365462687,8.50433074213999
26.455379821517937,126.34881718668137,62.743757827387476,8.499066685578693
26.488740954962477,126.27325604449886,62.70621738996703,8.493814100088404
26.52210208840701,126.19780550341184,62.668732279648246,8.48857288740849
26.555463221851547,126.12246545481817,62.63130243335646,8.483342951255946
26.588824355296087,126.04723578898468,62.593927787662096,8.478124197280065
26.622185488740623,125.97211639506014,62.55660827878273,8.472916533018337
26.65554662218516,125.89710716109293,62.51934384258777,8.46771986785319
26.688907755629696,125.8222079740443,62.48213441459945,8.462534112969768
26.722268889074233,125.74741871980329,62.444979929997,8.457359181314636
26.755630022518773,125.67273928320206,62.40788032361902,8.452194987555554
26.788991155963306,125.59816954802989,62.3708355299668,8.44704144804194
