r_kpc,rho_bulge,rho_disk,rho_total,M_enc_Msun,G_eff,v_kms,a_kms2_per_kpc,a_m_s2
2.411801801801802,13796956.08531315,775949836.2577634,789746792.3430766,17288155393.25662,0.0002828946506775926,1424.01934388238,840795.0811862973,2.724831883206929e-08
2.4518318318318317,13061134.142684089,764094680.3896888,777155814.532373,17610661252.814526,0.00027396455811889124,1402.7803823656375,802580.6564717334,2.6009873398804643e-08
2.491861861861862,12373838.831096267,752420650.5610682,764794489.3921645,17932570214.304367,0.0002653369600341292,1381.8412820059245,766288.5964429238,2.4833727575802987e-08
2.531891891891892,11731270.476090718,740924979.4829235,752656249.9590142,18253835044.28382,0.0002569996721056765,1361.1963203339437,731806.6890708234,2.371624481806943e-08
2.571921921921922,11129972.884245673,729604942.1456101,740734915.0298557,18574409649.996384,0.00024894119519440564,1340.8401464271892,699030.6676679376,2.265404607164899e-08
2.6119519519519523,10566798.22303525,718457855.1728635,729024653.3958987,18894249078.45419,0.00024115065821913047,1320.7677384372241,667863.517777554,2.1643987311431417e-08
2.651981981981982,10038875.899448352,707481076.1857133,717519952.0851617,19213309514.080956,0.00023361776733676087,1300.9743662492886,638214.8570906984,2.068313944562394e-08
2.6920120120120123,9543584.936562218,696672003.1761165,706215588.1126786,19531548275.011806,0.00022633276060857044,1281.455558624119,610000.3794193045,1.976877029614494e-08
2.732042042042042,9078529.415573409,686028073.8901607,695106603.305734,19848923808.144276,0.00021928636745457386,1262.2070742601304,583141.3549996176,1.8898328404556607e-08
2.7720720720720724,8641516.609032758,675546765.2206899,684188281.8297226,20165395683.03169,0.00021246977229650587,1243.2248762894117,557564.1804541934,1.806942844732341e-08
2.812102102102102,8230537.480801764,665225592.6092116,673456130.0900134,20480924584.706745,0.00020587458187334542,1224.5051097854973,533199.9726361117,1.727983807319658e-08
2.8521321321321325,7843749.2708672,655062109.4569387,662905858.727806,20795472305.51951,0.00019949279578416118,1206.044081916144,509984.2013411913,1.6527466000225062e-08
2.8921621621621623,7479459.919722472,645053906.5448346,652533366.464557,21109001736.070107,0.00019331677987334626,1187.838244421844,487856.3565247474,1.581035123098271e-08
2.9321921921921925,7136114.118467747,635198611.4625129,642334725.5809805,21421476855.312744,0.00018733924212473141,1169.8841781417132,466759.64621646603,1.512665326265399e-08
2.9722222222222223,6812280.797869141,625493888.0458678,632306168.8437369,21732862719.903404,0.00018155321077501876,1152.178579343644,446640.72180504823,1.4474643184113643e-08
3.0122522522522526,6506641.892996865,615937435.8232932,622444077.7162901,22043125452.86006,0.00017595201439463045,1134.7182476460923,427449.42777561024,1.3852695565466423e-08
3.0522822822822824,6217982.240278719,606526989.4703649,612744971.7106436,22352232231.60015,0.00017052926371639176,1117.500075345267,409138.5733376232,1.3259281057011027e-08
3.0923123123123126,5945180.4813175555,597260318.2728511,603205498.7541686,22660151275.416508,0.0001652788350202638,1100.5210379843397,391663.7236878831,1.2692959624532179e-08
3.1323423423423424,5687200.863018189,588135225.597932,593822426.4609501,22966851832.449074,0.00016019485490630407,1083.7781860211749,374983.0089188175,1.2152374356439255e-08
3.1723723723723727,5443085.836778818,579149548.3734927,584592634.2102715,23272304166.20661,0.00015527168630871975,1067.2686374683703,359056.9488132866,1.1636245785751231e-08
3.2124024024024025,5211949.371003926,570301156.5753766,575513105.9463806,23576479541.68879,0.00015050391562178297,1050.9895713944663,343848.29196798697,1.114336667644013e-08
3.2524324324324327,4992970.901226217,561587952.7224689,566580923.623695,23879350211.156338,0.00014588634082387896,1034.938222188304,329321.8678628272,1.0672597229324932e-08
3.2924624624624625,4785389.850887278,553007871.3794963,557793261.2303836,24180889399.593315,0.00014141396049944084,1019.1118745000459,315444.45064689586,1.0222860667674472e-08
3.332492492492493,4588500.663491831,544558878.6674234,549147379.3309152,24481071289.90313,0.00013708196367022996,1003.5078587823987,302184.6335458183,9.79313916702617e-09
3.3725225225225226,4401648.29356693,536238971.7813271,540640620.0748941,24779871007.876892,0.00013288572035763423,988.1235473644172,289512.71291310375,9.382470097545284e-09
3.412552552552553,4224224.109750571,528046178.51563984,532270402.6253904,25077264606.9701,0.00012882077280656337,972.9563509979996,277400.58105164213,8.989942550605409e-09
